queue,rank,account,category,score,story,email,linkedin,tenure,subtitle,check_first,unknowns,seller_review_notes,message_1,message_2,message_3
Work Now,01,Education & Training Resources,Training provider / extended enterprise,69,Sourcewell,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Verify whether the organization sells, certifies, or otherwise operates a formal training program.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record","Hi there -

This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?

Pat","This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?","For organizations running external training programs, Brightspace can help expand reach without creating more admin burden. Sourcewell saw major gains in registrations, certificates, and continuing education hours after moving online."
Work Now,02,Aiphone Training,Training provider / extended enterprise,69,Sourcewell,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Verify whether the organization sells, certifies, or otherwise operates a formal training program.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record","Hi there -

This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?

Pat","This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?","For organizations running external training programs, Brightspace can help expand reach without creating more admin burden. Sourcewell saw major gains in registrations, certificates, and continuing education hours after moving online."
Work Now,03,Accent Reduction,Training provider / extended enterprise,66,Sourcewell,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Verify whether the organization sells, certifies, or otherwise operates a formal training program.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record","Hi there -

This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?

Pat","This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?","For organizations running external training programs, Brightspace can help expand reach without creating more admin burden. Sourcewell saw major gains in registrations, certificates, and continuing education hours after moving online."
Work Now,04,Protection First CCW,Credentialing / certification / CE,66,National Education Partners,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Verify whether certification delivery or compliance tracking is part of the organization’s core motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record","Hi there -

This may be off-base, but certification-heavy programs usually hit a point where delivery and tracking get harder than they should. I work with teams using Brightspace to make that easier without adding more admin. National Education Partners is one example: Learners rated the courses as stronger than prior offerings in the POST portfolio. Worth a quick chat if that is on your side of the house?

Pat","This may be off-base, but certification-heavy programs usually hit a point where delivery and tracking get harder than they should. I work with teams using Brightspace to make that easier without adding more admin. National Education Partners is one example: Learners rated the courses as stronger than prior offerings in the POST portfolio. Worth a quick chat if that is on your side of the house?",Specialized training programs usually need delivery that is both flexible and credible. National Education Partners used Brightspace to improve the learner experience in a law-enforcement training portfolio.
Work Now,05,K 9 Academy Training Facility,Training provider / extended enterprise,66,Sourcewell,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Verify whether the organization sells, certifies, or otherwise operates a formal training program.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record","Hi there -

This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?

Pat","This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?","For organizations running external training programs, Brightspace can help expand reach without creating more admin burden. Sourcewell saw major gains in registrations, certificates, and continuing education hours after moving online."
Work Now,06,Launch Learning Group,Training provider / extended enterprise,66,Sourcewell,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Verify whether the organization sells, certifies, or otherwise operates a formal training program.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record","Hi there -

This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?

Pat","This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?","For organizations running external training programs, Brightspace can help expand reach without creating more admin burden. Sourcewell saw major gains in registrations, certificates, and continuing education hours after moving online."
Work Now,07,Bitesize Irish Gaelic,Training provider / extended enterprise,66,Sourcewell,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Verify whether the organization sells, certifies, or otherwise operates a formal training program.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record","Hi there -

This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?

Pat","This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?","For organizations running external training programs, Brightspace can help expand reach without creating more admin burden. Sourcewell saw major gains in registrations, certificates, and continuing education hours after moving online."
Work Now,08,Charlotte Performing Arts Center,Training provider / extended enterprise,65,Sourcewell,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Verify whether the organization sells, certifies, or otherwise operates a formal training program. | Clarify the organization’s business model and whether training is actually strategic for them.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | organization type needs clarification","Hi there -

This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?

Pat","This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?","For organizations running external training programs, Brightspace can help expand reach without creating more admin burden. Sourcewell saw major gains in registrations, certificates, and continuing education hours after moving online."
Work Now,09,The Financial Fairy Tales,Training provider / extended enterprise,65,Sourcewell,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Verify whether the organization sells, certifies, or otherwise operates a formal training program. | Clarify the organization’s business model and whether training is actually strategic for them.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | organization type needs clarification","Hi there -

This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?

Pat","This may be off-base, but teams running training programs usually hit a point where learner experience and admin work both need attention at the same time. I work with organizations using Brightspace to scale training without making delivery clunky. Sourcewell is one example: Sourcewell increased course registrations by 96 percent after launching online courses. Worth a quick chat if that is relevant?","For organizations running external training programs, Brightspace can help expand reach without creating more admin burden. Sourcewell saw major gains in registrations, certificates, and continuing education hours after moving online."
Work Now,10,Community Services Project,Association / member organization,64,Good Roads,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the organization has member education, community learning, or certificate-style programming.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record","Hi there -

This may be off-base, but member and community learning programs usually get harder to scale once certificates, reporting, and engagement all start pulling in different directions. I work with organizations using Brightspace to simplify that. Good Roads is one example: Good Roads grew learner enrollment 10 times in two years. Worth a quick chat if that lines up with anything your team is looking at?

Pat","This may be off-base, but member and community learning programs usually get harder to scale once certificates, reporting, and engagement all start pulling in different directions. I work with organizations using Brightspace to simplify that. Good Roads is one example: Good Roads grew learner enrollment 10 times in two years. Worth a quick chat if that lines up with anything your team is looking at?","We have seen learning organizations use Brightspace to grow professional education without making delivery harder. Good Roads, for example, grew enrollment 10 times in two years after modernizing its online training program."
